provider,name,stock,price,link
CyberPuerta,"Smartphone Huawei P40 6.1"", 2340 x 1080 Pixeles, 128GB, 8GB RAM, 5G, Android 10.0, Plata",144,"$13,879.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P40-6-1-2340-x-1080-Pixeles-128GB-8GB-RAM-5G-Android-10-0-Plata.html
CyberPuerta,"Smartphone Huawei P30 Lite 6.15"" Dual Sim, 2312 x 1080 Pixeles, 256GB, 6GB, 3G/4G, Android 9.0, Azul",110,"$7,229.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P30-Lite-6-15-Dual-Sim-2312-x-1080-Pixeles-256GB-6GB-3G-4G-Android-9-0-Azul.html
CyberPuerta,"Smartphone Huawei P Smart Z 6.59"", 2340 x 1080 Pixeles, 64GB, 4GB RAM , 4G, EMUI 9.0 Basado en Android 9, Negro",42,"$5,579.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P-Smart-Z-6-59-2340-x-1080-Pixeles-64GB-4GB-RAM-4G-EMUI-9-0-Basado-en-Android-9-Negro.html
CyberPuerta,"Smartphone Huawei P Smart Z 6.59"", 2340 x 1080 Pixeles, 64GB, 4GB RAM , 4G, EMUI 9.0 Basado en Android 9, Azul",40,"$5,579.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P-Smart-Z-6-59-2340-x-1080-Pixeles-64GB-4GB-RAM-4G-EMUI-9-0-Basado-en-Android-9-Azul.html
CyberPuerta,"Smartphone Huawei Y5P 5.45"" Dual Sim, 1440 x 720 Pixeles, 32GB, 2GB RAM, 4G, EMUI 10.1 (basado en Android 10), Azul",1,"$3,079.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-Y5P-5-45-Dual-Sim-1440-x-720-Pixeles-32GB-2GB-RAM-4G-EMUI-10-1-basado-en-Android-10-Azul.html
CyberPuerta,"Smartphone Huawei P40 6.39"", 1920 x 1080 Pixeles, 64GB, 4GB RAM, 3G/4G, Android 9.0, Azul",1,"$16,039.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P40-6-39-1920-x-1080-Pixeles-64GB-4GB-RAM-3G-4G-Android-9-0-Azul.html
CyberPuerta,"Smartphone Huawei P40 Lite 6.4"" Dual Sim, 2310 x 1080 Pixeles, 128GB, 6GB RAM, 3G/4G, Android 10, Verde",No Stock,"$5,469.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P40-Lite-6-4-Dual-Sim-2310-x-1080-Pixeles-128GB-6GB-RAM-3G-4G-Android-10-Verde.html
CyberPuerta,"Smartphone Huawei P40 Lite 6.4"" Dual Sim, 2310 x 1080 Pixeles, 128GB, 6GB RAM, 3G/4G, Android 10, Negro",No Stock,"$5,469.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P40-Lite-6-4-Dual-Sim-2310-x-1080-Pixeles-128GB-6GB-RAM-3G-4G-Android-10-Negro.html
CyberPuerta,"Smartphone Huawei P30 Lite 6.15"" Dual Sim, 2312 x 1080 Pixeles, 128GB, 4GB RAM, 3G/4G, Android 8.1, Azul",No Stock,"$5,869.00",https://www.cyberpuerta.mx/Por-Marca/HUAWEI/Smartphone-Huawei-P30-Lite-6-15-Dual-Sim-2312-x-1080-Pixeles-128GB-4GB-RAM-3G-4G-Android-8-1-Azul.html
