provider,name,stock,price,link
Amazon,MSI Gaming - GeForce RTX 3080 Ti 12 GB GDRR6X 320 ,No Stock,Ver Sitio,https://www.amazon.com.mx/MSI-Gaming-GeForce-arquitecture-tarjeta/dp/B095VZ6F73/ref=sr_1_2?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-2
Amazon,ASUS Tarjeta gráfica TUF Gaming NVIDIA GeForce RTX,No Stock,Ver Sitio,https://www.amazon.com.mx/Tarjeta-DisplayPort-rodamientos-ventilador-certificaci%C3%B3n/dp/B096L3GLYS/ref=sr_1_4?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-4
Amazon,Gigabyte GeForce RTX 3080 Ti VISION OC - Tarjeta g,Hay Stock,"$57,999.00",https://www.amazon.com.mx/Gigabyte-GeForce-RTX-3080-VISION/dp/B095X7V2HH/ref=sr_1_5?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-5
Amazon,Gigabyte Tarjeta gráfica AORUS GeForce RTX 3080 Ti,Hay Stock,"$57,999.00",https://www.amazon.com.mx/Gigabyte-Tarjeta-refrigeraci%C3%B3n-GV-N308TAORUS-M-12GD/dp/B083HZG3HK/ref=sr_1_7?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-7
Amazon,MSI Gaming GeForce RTX 3080 Ti 12 GB GDRR6X 320 bi,No Stock,Ver Sitio,https://www.amazon.com.mx/MSI-GeForce-RTX-3080-12G/dp/B095W3S3LF/ref=sr_1_15?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-15
Amazon,GIGABYTE Tarjeta gráfica GeForce RTX 3080 Ti Visio,No Stock,Ver Sitio,https://www.amazon.com.mx/GIGABYTE-ventiladores-WINDFORCE-GV-N308TVISION-OC-12GD/dp/B083HZF4GV/ref=sr_1_22?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-22
Amazon,Gigabyte GeForce RTX 3080 Ti GAMING OC - Tarjeta g,No Stock,Ver Sitio,https://www.amazon.com.mx/Gigabyte-GeForce-RTX-3080-GAMING/dp/B095X51RHY/ref=sr_1_24?dchild=1&keywords=RTX+3080+Ti&qid=1628670292&sr=8-24
