provider,name,stock,price,link
Amazon,MSI Gaming GeForce RTX 3080 10 GB GDRR6X 320 bits ,Hay Stock,"$49,899.00",https://www.amazon.com.mx/MSI-GeForce-Arquitecture-Tarjeta-gr%C3%A1fica/dp/B08HR5SXPS/ref=sr_1_105?dchild=1&keywords=RTX+3080&qid=1628659686&sr=8-105
Amazon,PNY GeForce RTX 3080 - Tarjeta gráfica de Triple V,No Stock,Ver Sitio,https://www.amazon.com.mx/PNY-GeForce-RTX-3080-Ventilador/dp/B08HBTJMLJ/ref=sr_1_111?dchild=1&keywords=RTX+3080&qid=1628659686&sr=8-111
Amazon,"10G-P5-3885-KR GeForce RTX 3080 XC3 Ultra Gaming, ",No Stock,Ver Sitio,https://www.amazon.com.mx/10G-P5-3885-KR-GeForce-Gaming-Cooling-trasera/dp/B0979WZV9F/ref=sr_1_146?dchild=1&keywords=RTX+3080&qid=1628659686&sr=8-146
