provider,name,stock,price,link
CyberPuerta,"Nintendo Switch 1.1 Neon Blue and Red Joy, 32GB, WiFi, Negro",87,"$8,259.00",https://www.cyberpuerta.mx/Audio-Video/Consolas-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-1-1-Neon-Blue-and-Red-Joy-32GB-WiFi-Gris.html
CyberPuerta,"Nintendo Switch Lite, 32GB, WiFi, Gris",41,"$5,559.00",https://www.cyberpuerta.mx/Audio-Video/Consolas-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-Lite-32GB-WiFi-Gris.html
CyberPuerta,"Nintendo Switch Lite, 32GB, WiFi, Coral",9,"$5,309.00",https://www.cyberpuerta.mx/Audio-y-Video/Consolas-y-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-Lite-32GB-WiFi-Coral.html
CyberPuerta,"Nintendo Switch Lite, 32GB, WiFi, Amarillo",2,"$5,159.00",https://www.cyberpuerta.mx/Audio-y-Video/Consolas-y-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-Lite-32GB-WiFi-Amarillo.html
CyberPuerta,"Nintendo Switch 1.1 Neon Blue and Red Joy, 32GB, WiFi, Negro  ―  incluye SanDisk MicroSD 128GB",1,"$9,039.00",https://www.cyberpuerta.mx/Audio-y-Video/Consolas-y-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-1-1-Neon-Blue-and-Red-Joy-32GB-WiFi-Negro.html
CyberPuerta,"Nintendo Switch Lite, 32GB, WiFi, Turquesa",No Stock,"$6,139.00",https://www.cyberpuerta.mx/Audio-y-Video/Consolas-y-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-Lite-32GB-WiFi-Turquesa.html
CyberPuerta,"Nintendo Switch 1.1 Edición Mario Bros, 32GB, WiFi, Rojo",No Stock,"$9,059.00",https://www.cyberpuerta.mx/Audio-y-Video/Consolas-y-Juegos/Nintendo-Switch/Consolas-Nintendo-Switch/Nintendo-Switch-1-1-Edicion-Mario-Bros-32GB-WiFi-Rojo.html
