provider,name,stock,price,link
Amazon,PowerColor Tarjeta gráfica para Juegos AMD Radeon™,Hay Stock,"$39,799.00",https://www.amazon.com.mx/PowerColor-Tarjeta-RadeonTM-tecnolog%C3%ADa-Infinity/dp/B08Q2R71CS/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TIRINI57MOX3&dchild=1&keywords=rx+6900+xt&qid=1628705149&sprefix=rx%2Caps%2C223&sr=8-1
Amazon,AMD Radeon RX 6900 XT,No Stock,Ver Sitio,https://www.amazon.com.mx/AMD-Radeon-RX-6900-XT/dp/B08R6M3JPS/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TIRINI57MOX3&dchild=1&keywords=rx+6900+xt&qid=1628705149&sprefix=rx%2Caps%2C223&sr=8-2
Amazon,Asus Tarjeta de Video ROG Strix Radeon RX 6900 XT ,Hay Stock,"$59,849.00",https://www.amazon.com.mx/Asus-Tarjeta-Radeon-Sistema-Liquido/dp/B0966YJGLT/ref=sr_1_6?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TIRINI57MOX3&dchild=1&keywords=rx+6900+xt&qid=1628705149&sprefix=rx%2Caps%2C223&sr=8-6
Amazon,Sapphire VCX 11308-03-20G AMD Radeon RX 6900 XT Sp,Hay Stock,"$45,999.00",https://www.amazon.com.mx/Sapphire-11308-03-20G-Radeon-Special-Gaming/dp/B094DYSQQL/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TIRINI57MOX3&dchild=1&keywords=rx+6900+xt&qid=1628705149&sprefix=rx%2Caps%2C223&sr=8-7
Amazon,Sapphire Tarjeta gráfica AMD Toxic Radeon RX 6900 ,Hay Stock,"$62,082.05",https://www.amazon.com.mx/Sapphire-Tarjeta-gr%C3%A1fica-Radeon-Gaming/dp/B091CRNMDJ/ref=sr_1_31?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TIRINI57MOX3&dchild=1&keywords=rx+6900+xt&qid=1628705149&sprefix=rx%2Caps%2C223&sr=8-31
