provider,name,stock,price,link
Amazon,Apple iPhone XR (128 GB) - Azul,Hay Stock,"$15,499.00",https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg3_1?ie=UTF8&adId=A0600787LVK75MBZGT8M&url=%2FApple-iPhone-XR-128-GB-Azul%2Fdp%2FB07H9PMSVN%2Fref%3Dsr_1_49_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3DiPhone%26qid%3D1628705424%26s%3Delectronics%26sr%3D1-49-spons%26psc%3D1&qualifier=1628705424&id=3884894932737325&widgetName=sp_atf_next
Amazon,Apple iPhone 11 (64 GB) - Amarillo,Hay Stock,"$16,999.00",https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg3_1?ie=UTF8&adId=A05797473BDPBDZWF3N84&url=%2FApple-iPhone-11-64-GB-Amarillo%2Fdp%2FB08GH7V15Y%2Fref%3Dsr_1_50_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3DiPhone%26qid%3D1628705424%26s%3Delectronics%26sr%3D1-50-spons%26psc%3D1&qualifier=1628705424&id=3884894932737325&widgetName=sp_atf_next
Amazon,Apple iPhone 11 Pro (restaurado).,No Stock,Ver Sitio,https://www.amazon.com.mx/Apple-iPhone-Renovado-Verde-Midnight/dp/B07ZQRMWVB/ref=sr_1_54?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628705424&s=electronics&sr=1-54
Amazon,"Apple iPhone XS, 256GB, Gold - Fully Unlocked (Ren",No Stock,Ver Sitio,https://www.amazon.com.mx/Apple-iPhone-Gold-Desbloqueado-Renewed/dp/B07KKL5KGG/ref=sr_1_58?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=iPhone&qid=1628705424&s=electronics&sr=1-58
