provider,name,stock,price,link
Ebay,"PC Gamer Core i7, GTX 1050ti 4Go, 16Go Ram, 240 Go",1,"$16,496.37",https://www.ebay.com/itm/333728786595?_trkparms=ispr%3D1&hash=item4db3c928a3:g:mwAAAOSwFGxfWlDZ&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSprd4IgPv6LBzlteBBg9Pe4%252F8pQS7MOJ1OpRcyQFn927xW4jXzDhjdYugc5HhzsUOUC1r73i1GRL%252BOEEo6j4yyPea8gPQugRfeYuYMRcq7bxO6RjiP1ayPpmQkmGRDwll8p0DyF8NzVmndOgMUmC0CAVLKD%252Fphpt%252FayUHDB81o73bsoOowTgLmDy0rAWi8TdW0cz4rzVF8pg8ZU4gzG8ULGYxRQ9vbWsmaAjQvKc%252FBGIXPd8eGg2U9lXIVTHBf6GrPI5%252B0k6eaXSMO99ydceFIznjvAnLHl9GCMPz7RB6etxdlcSf%252FMETPKKPBMDoQ3Hre0UpFywyg%252FW3CK1BCQbE0TEvVhV4ie6JQag4Mr4uOaxgeVP3XRnII6HYRvPpDUWVkDV3rW05A3TUZfXZy0fqLcOJSiYgvFVI28BEGhmgOGbZa38uM4EHF85VCDlh62HsmGDcu0w5ERsakivv7K6E2KB480VgLE63IUVYq2766BcdP0GaXN9u6s%252FknXIgDJqZH3J3lNL%252FKFuTxiN8WIY4qLj1aqxQMa9vDEtQOWNalRUZNzCXOwM9ZwwvuG5ZYSUcRC4fQAvI5LMDjKpA7PKuOKl4bUI2mmTdQOCtCiMgluP%252BSjYdYql9pr0Ogj41Eqt4NXHeYbwcrgHetdYEjH6NWi469J1deWaHZJeUKFjY8097%252B33H1lGnesJrVfKZHdLncMFz0iBEj6EfCSQe4GZK9Sv6AYoQk9MobR8kKQU9%252FgP2J4OFCD3n3IjbTM5CaWufW2fT6rW3kGvfNFUdyrikbVTUt5yQJZPS477RQCvg7e43yudJM53OVpb3YOoIvTbr%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,PC Gamer Ryzen 3100 - 16 Go RAM - GTX 1650 super 4,1,"$8,283.58",https://www.ebay.com/itm/384318980079?hash=item597b323fef:g:-bkAAOSwAaFg9d-V
Ebay,PC Gamer i7-7700k/MSI motherboard/2tb HDD/SSD de 2,1,"$11,075.54",https://www.ebay.com/itm/384304715944?hash=item597a5898a8:g:jkgAAOSwDVNhBXCR
Ebay,"PC Gamer Core i5, GTX 1050ti 4Go, 16Go Ram, 120 Go",1,"$6,624.74",https://www.ebay.com/itm/353616456580?hash=item52552eeb84:g:hAQAAOSwhj1hEe1R
Ebay,PC Gamer HP 6200 pro Customisé,1,"$7,079.99",https://www.ebay.com/itm/255082281626?hash=item3b6416ba9a:g:OOAAAOSwQAVhDsD8
Ebay,PC Gamer Ultra Haute Performance en Silence et Lum,1,"$94,376.21",https://www.ebay.com/itm/114108067043?hash=item1a915eece3:g:gBQAAOSwexhczzvr
Ebay,DELL PRECISIO PC Gamer I5 GTX1660TI 8Go 500Go WD 8,1,"$11,799.98",https://www.ebay.com/itm/114925582256?hash=item1ac21937b0:g:HusAAOSwPLhfZgN7
Ebay,PC Gamer 240 fps,1,"$17,699.96",https://www.ebay.com/itm/393414930364?hash=item5b995b6fbc:g:4S4AAOSwa0Fg2OL~
Ebay,PC Gamer Gtx 1050Ti - Intel Core i7-6700k - 3.4 Gh,1,"$16,519.97",https://www.ebay.com/itm/403036434878?hash=item5dd6d7f1be:g:Pe8AAOSwyfBgqao6
