provider,name,stock,price,link
Amazon,Xtreme PC Gamer Geforce GT 1030 Intel Core 4Ghz 8G,No Stock,Ver Sitio,https://www.amazon.com.mx/Xtreme-PC-Gamer-Geforce-Monitor/dp/B08YTNVWDH/ref=sr_1_79?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=PC+Gamer&qid=1628705484&s=electronics&sr=1-79
Amazon,Xtreme PC Gamer TUF Geforce RTX 2060 Intel Core I7,No Stock,Ver Sitio,https://www.amazon.com.mx/Xtreme-PC-Gamer-Geforce-Intel/dp/B093NNGYLB/ref=sr_1_82?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=PC+Gamer&qid=1628705484&s=electronics&sr=1-82
Amazon,Xtreme PC Gamer AMD Radeon Vega Renoir Ryzen 3 435,No Stock,Ver Sitio,https://www.amazon.com.mx/Xtreme-PC-Radeon-Renoir-Monitor/dp/B092Q1LF6Y/ref=sr_1_84?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=PC+Gamer&qid=1628705484&s=electronics&sr=1-84
Amazon,Xtreme PC Gamer XPG Geforce 1660 Super Ryzen 5 360,No Stock,Ver Sitio,https://www.amazon.com.mx/Xtreme-PC-Gamer-Geforce-Ryzen/dp/B0872K3YHH/ref=sr_1_98?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=PC+Gamer&qid=1628705484&s=electronics&sr=1-98
