provider,name,stock,price,link
CyberPuerta,"Tarjeta de Video Zotac NVIDIA GeForce RTX 3080 Ti Trinity, 12GB 384-bit GDDR6X, PCI Express x16 4.0",26,"$36,729.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Zotac-NVIDIA-GeForce-RTX-3080-Ti-Trinity-12GB-384-bit-GDDR6X-PCI-Express-x16-4-0.html
CyberPuerta,"Tarjeta de Video ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Gaming, 12GB 384-bit GDDR6X, PCI Express 4.0",1,"$52,639.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-ASUS-ROG-Strix-NVIDIA-GeForce-RTX-3080-Ti-OC-Gaming-12GB-384-bit-GDDR6X-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB 384-bit GDDR6X, PCI Express x16 4.0",3,"$47,079.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Gigabyte-NVIDIA-GeForce-RTX-3080-Ti-Gaming-12GB-384-bit-GDDR6X-PCI-Express-x16-4-0.html
CyberPuerta,"Tarjeta de Video PNY NVIDIA GeForce RTX 3080 Ti XLR8 Gaming REVEL Edition, 12GB 384-bit GDDR6X, PCI Express x16 4.0",76,"$49,899.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-PNY-NVIDIA-GeForce-RTX-3080-Ti-XLR8-Gaming-REVEL-Edition-12GB-384-bit-GDDR6X-PCI-Express-x16-4-0.html
CyberPuerta,"Tarjeta de Video EVGA NVIDIA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12GB 384-bit GDDR6X, PCI Express 4.0",No Stock,"$44,813.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-EVGA-NVIDIA-GeForce-RTX-3080-Ti-FTW3-Ultra-Gaming-12GB-384-bit-GDDR6X-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video MSI NVIDIA GeForce RTX 3080 Ti Gaming X TRIO, 12GB 384-bit GDDR6X, PCI Express 4.0",No Stock,"$44,709.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-MSI-NVIDIA-GeForce-RTX-3080-Ti-Gaming-X-TRIO-12GB-384-bit-GDDR6X-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3080 Ti Vision OC, 12GB 384-bit GDDR6X, PCI Express 4.0",No Stock,"$45,299.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Gigabyte-NVIDIA-GeForce-RTX-3080-Ti-Vision-OC-12GB-384-bit-GDDR6X-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video ASUS NVIDIA GeForce RTX 3080 Ti Gaming OC, 12GB 384-bit GDDR6X, PCI Express x16 4.0",No Stock,"$44,189.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-ASUS-NVIDIA-GeForce-RTX-3080-Ti-Gaming-OC-12GB-384-bit-GDDR6X-PCI-Express-x16-4-0.html
