provider,name,stock,price,link
Amazon,"Samsung Galaxy A32 (128 GB, 4 GB) 6.4"" Super AMOLE",No Stock,Ver Sitio,https://www.amazon.com.mx/pantalla-cu%C3%A1druple-desbloqueado-DS-cargador/dp/B08Z6WLVH9/ref=sr_1_31?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-31
Amazon,Celular Samsung Galaxy S10 Plus 128gb 8gb Ram Libe,Hay Stock,"$8,997.00",https://www.amazon.com.mx/Celular-Samsung-Galaxy-128gb-Liberado/dp/B08H5RB99Z/ref=sr_1_33?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-33
Amazon,Samsung Galaxy A10s Black,Hay Stock,"$2,772.00",https://www.amazon.com.mx/SAMSUNG-Samsung-Galaxy-A10s-Black/dp/B081TY5V3N/ref=sr_1_43?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-43
Amazon,Samsung Galaxy A72 (SM-A725M/DS) Dual SIM 128GB 6.,Hay Stock,"$9,899.00",https://www.amazon.com.mx/Samsung-SM-A725M-pulgadas-desbloqueado-internacional/dp/B091D9QFFT/ref=sr_1_44?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-44
Amazon,Samsung Galaxy S20+ Plus 5G Desbloqueado de fábric,Hay Stock,"$13,041.27",https://www.amazon.com.mx/Samsung-Desbloqueado-almacenamiento-identificaci%C3%B3n-reconocimiento/dp/B08HY8J518/ref=sr_1_45?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-45
Amazon,"Samsung Galaxy A72 (SM-A725M/DS), Dual SIM 4G, ver",Hay Stock,"$9,899.00",https://www.amazon.com.mx/Samsung-SM-A725M-DS-versi%C3%B3n-internacional/dp/B091G4GHTK/ref=sr_1_47?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-47
Amazon,"Samsung Galaxy A02 SM-A022M/DS, 4G LTE, versión in",Hay Stock,"$2,710.00",https://www.amazon.com.mx/Samsung-Galaxy-SM-A022M-versi%C3%B3n-internacional/dp/B08X1C6Q6P/ref=sr_1_51?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-51
Amazon,AT&T Samsung Galaxy A71 Prism Crush Plata 128 Gb,Hay Stock,"$8,999.00",https://www.amazon.com.mx/Samsung-Galaxy-Prism-Crush-Plata/dp/B092XKWLQB/ref=sr_1_54?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone+samsung&qid=1628705421&s=electronics&sr=1-54
