provider,name,stock,price,link
CyberPuerta,"Tarjeta de Video ASUS AMD Radeon RX 6900 XT O16G Gaming, 16GB 192-bit GDDR6, PCI Express 4.0",No Stock,"$34,609.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-ASUS-AMD-Radeon-RX-6900-XT-O16G-Gaming-16GB-192-bit-GDDR6-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video Gigabyte AMD Radeon RX 6900 XT GAMING OC, 16GB 256-bit GDDR6, PCI Express x16 4.0",No Stock,"$51,099.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Gigabyte-AMD-Radeon-RX-6900-XT-GAMING-OC-16GB-256-bit-GDDR6-PCI-Express-x16-4-0.html
CyberPuerta,"Tarjeta de Video PowerColor Red Devil AMD Radeon RX 6900 XT OC, 16GB 256-bit GDDR6, PCI Express 4.0",No Stock,"$46,075.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-PowerColor-Red-Devil-AMD-Radeon-RX-6900-XT-OC-16GB-256-bit-GDDR6-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video ASUS AMD Radeon RX 6900 XT Gaming, 16GB 256-bit GDDR6, PCI Express 4.0",No Stock,"$53,929.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-ASUS-AMD-Radeon-RX-6900-XT-Gaming-16GB-256-bit-GDDR6-PCI-Express-4-0.html
CyberPuerta,"Tarjeta de Video Sapphire AMD Radeon RX 6900 XT NITRO+, 16GB 256-bit GDDR6, PCI Express x16 4.0",No Stock,"$42,479.00",https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Sapphire-AMD-Radeon-RX-6900-XT-NITRO-16GB-256-bit-GDDR6-PCI-Express-x16-4-0.html
